top - 19:19:17 up 35 min,  2 users,  load average: 0,14, 0,74, 0,80
Tareas: 271 total,   1 ejecutar,  269 hibernar,    0 detener,    1 zombie
%Cpu(s):  4,0 us,  4,0 sy,  0,0 ni, 92,0 id,  0,0 wa,  0,0 hi,  0,0 si,  0,0 st 
MiB Mem :   3902,1 total,    152,8 libre,   2359,5 usado,   1773,9 búf/caché    
MiB Intercambio:      0,0 total,      0,0 libre,      0,0 usado.   1542,6 dispon

    PID USUARIO   PR  NI    VIRT    RES    SHR S  %CPU  %MEM     HORA+ ORDEN
   3012 dani      20   0       0      0      0 Z   0,0   0,0   0:00.02 sd_espe+
   3013 dani      20   0   21088   9124   5644 S   0,0   0,2   0:00.07 sd_espe+
   3030 dani      20   0  163512   5772   5052 S   0,0   0,1   0:00.30 sd_dummy
   3033 dani      20   0   21164   9156   5696 S   0,0   0,2   0:00.04 sd_espe+
   4182 dani      20   0 2426872  77912  64044 S   0,0   1,9   0:01.90 Web Con+
   4186 dani      20   0 2426872  77892  64028 S   0,0   1,9   0:01.92 Web Con+
   4188 dani      20   0 2426872  78088  64212 S   0,0   2,0   0:01.90 Web Con+
   4242 root      20   0   19820  12960  11024 S   0,0   0,3   0:00.02 sshd-se+
   4251 dani      20   0   19952   7472   5392 S   0,0   0,2   0:01.37 sshd-se+
   4252 dani      20   0    8904   5888   3588 S   0,0   0,1   0:00.21 bash
   4266 root      20   0       0      0      0 S   0,0   0,0   0:00.00 scsi_eh+
   4267 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker+
   4269 root      20   0       0      0      0 S   0,0   0,0   0:47.57 usb-sto+
   4272 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker+
   4445 root      20   0       0      0      0 I   0,0   0,0   0:00.01 kworker+
   4546 root      20   0       0      0      0 I   0,0   0,0   0:00.00 kworker+
   4575 root      20   0       0      0      0 I   0,0   0,0   0:00.08 kworker+
   4578 dani      20   0 1062304 363960 177404 S   0,0   9,1   0:06.34 Telegram
   4645 root      20   0       0      0      0 I   0,0   0,0   0:00.03 kworker+
   4666 root      20   0       0      0      0 I   0,0   0,0   0:00.00 kworker+
   4675 root      20   0       0      0      0 I   0,0   0,0   0:00.00 kworker+
   4683 root      20   0       0      0      0 I   0,0   0,0   0:00.04 kworker+
   4712 root      20   0       0      0      0 I   0,0   0,0   0:00.00 kworker+
   4734 root      20   0       0      0      0 I   0,0   0,0   0:00.00 kworker+
   4753 root      20   0       0      0      0 I   0,0   0,0   0:00.00 kworker+
   4763 root      20   0   12208   6292   5548 S   0,0   0,2   0:00.01 su
   4767 root      20   0    8676   5584   3544 S   0,0   0,1   0:00.01 bash
   4781 root      20   0       0      0      0 I   0,0   0,0   0:00.00 kworker+
