
Active Connections

  Proto  Local Address          Foreign Address        State           PID
  TCP    [::]:49666             [::]:0                 LISTENING       1256
  TCP    [::]:49667             [::]:0                 LISTENING       1732
  TCP    [::]:49668             [::]:0                 LISTENING       2500
  TCP    [::]:49670             [::]:0                 LISTENING       728
  TCP    [::]:49672             [::]:0                 LISTENING       3040
  TCP    [::1]:445              [::1]:50342            ESTABLISHED     4
  TCP    [::1]:50342            [::1]:445              ESTABLISHED     4
  UDP    0.0.0.0:500            *:*                                    2760
  UDP    0.0.0.0:4500           *:*                                    2760
  UDP    0.0.0.0:5050           *:*                                    4212
  UDP    0.0.0.0:5353           *:*                                    1612
  UDP    0.0.0.0:5355           *:*                                    1612
  UDP    0.0.0.0:50339          *:*                                    6856
  UDP    0.0.0.0:50604          *:*                                    1612
  UDP    0.0.0.0:55788          *:*                                    1612
  UDP    0.0.0.0:58989          *:*                                    6856
  UDP    0.0.0.0:61906          *:*                                    1612
  UDP    0.0.0.0:62445          *:*                                    1612
  UDP    0.0.0.0:62639          *:*                                    6856
  UDP    0.0.0.0:63377          *:*                                    6856
  UDP    0.0.0.0:63380          *:*                                    6856
  UDP    0.0.0.0:63381          *:*                                    6856
  UDP    0.0.0.0:63617          *:*                                    6856
  UDP    0.0.0.0:64883          *:*                                    1612
  UDP    0.0.0.0:64885          *:*                                    6856
  UDP    0.0.0.0:64886          *:*                                    6856
  UDP    127.0.0.1:1900         *:*                                    7468
  UDP    127.0.0.1:55789        127.0.0.1:55789                        2776
  UDP    127.0.0.1:58859        *:*                                    7468
  UDP    192.168.122.58:137     *:*                                    4
  UDP    192.168.122.58:138     *:*                                    4
  UDP    192.168.122.58:1900    *:*                                    7468
  UDP    192.168.122.58:58858   *:*                                    7468
  UDP    [::]:500               *:*                                    2760
  UDP    [::]:4500              *:*                                    2760
  UDP    [::]:5353              *:*                                    1612
  UDP    [::]:5355              *:*                                    1612
  UDP    [::]:50604             *:*                                    1612
  UDP    [::]:55788             *:*                                    1612
  UDP    [::]:61906             *:*                                    1612
  UDP    [::]:62445             *:*                                    1612
  UDP    [::]:64883             *:*                                    1612
  UDP    [::1]:1900             *:*                                    7468
  UDP    [::1]:58857            *:*                                    7468
  UDP    [fe80::59d9:cdcb:9f2d:2d0%2]:1900  *:*                                    7468
  UDP    [fe80::59d9:cdcb:9f2d:2d0%2]:58856  *:*                                    7468
